client1,client2,value1,time
952388162150367322,230877485087195136,23.1,2023-06-20 02:29:23.309579-04:00
977953361401905172,515316359337345027,6.6,2023-06-14 02:26:45.302883-04:00
868241768787869726,577168342293544983,82.5,2023-06-21 00:26:27.631957-04:00
868241768787869726,977953361401905172,13.2,2023-06-17 13:54:03.009913-04:00
657627973754552401,716529862524796929,6.6,2023-06-14 03:09:13.527701-04:00
657627973754552401,697803212832374854,6.6,2023-06-14 03:09:13.533157-04:00
640670140920365087,814194997686566942,6.6,2023-06-14 03:11:00.879972-04:00
640670140920365087,826343607328833567,6.6,2023-06-14 03:11:00.885042-04:00
868241768787869726,590522801463754764,33.0,2023-06-19 04:52:27.322033-04:00
428451817635053569,1012994810719772702,6.6,2023-06-14 04:15:01.358766-04:00
637754336201408532,490776933412503553,37.5,2023-06-14 04:30:18.046133-04:00
637754336201408532,898375971437166592,66.0,2023-06-14 04:31:10.617737-04:00
578734791692648458,892563469004574720,6.6,2023-06-14 04:33:15.670653-04:00
726553506605170699,898375971437166592,6.6,2023-06-14 04:37:57.814838-04:00
726553506605170699,235227045699780608,6.6,2023-06-14 04:37:57.819912-04:00
494316157864640519,753544412264398890,6.6,2023-06-14 05:12:51.266619-04:00
637754336201408532,617595835122974730,6.6,2023-06-14 05:33:59.052264-04:00
333377436987293697,577168342293544983,72.6,2023-06-14 10:42:48.714252-04:00
799885323982340146,467171926348005396,6.6,2023-06-14 09:33:54.074501-04:00
799885323982340146,637754336201408532,6.6,2023-06-14 09:33:54.080209-04:00
1099135223247147143,943519937056628787,6.6,2023-06-14 09:58:16.265577-04:00
966828978772000788,436277438620893184,6.6,2023-06-14 10:31:35.039933-04:00
491771607723802646,1110549587380408350,6.6,2023-06-14 10:31:52.975730-04:00
491771607723802646,243623018864050176,6.6,2023-06-14 10:31:52.983959-04:00
576962723540369454,703568681770287104,6.6,2023-06-14 11:04:07.936407-04:00
341416131497820160,604887159823925259,6.6,2023-06-14 11:06:28.533914-04:00
335816176804560899,830934706916818988,6.6,2023-06-14 11:09:45.144537-04:00
619804409748127744,784624817046421515,6.6,2023-06-14 12:00:36.931939-04:00
637754336201408532,235047680361889792,6.6,2023-06-14 12:10:15.186472-04:00
868241768787869726,491771607723802646,75.9,2023-06-18 21:22:15.352567-04:00
868241768787869726,740093719847501886,108.9,2023-06-20 10:57:25.824056-04:00
404363173181915148,830934706916818988,6.6,2023-06-14 12:55:35.914771-04:00
754003072807731301,659360151807066112,66.0,2023-06-14 13:20:21.245990-04:00
777295376599351307,954948208314957864,6.6,2023-06-14 13:48:56.036553-04:00
283248919088201728,503300306399002626,16.5,2023-06-18 08:37:20.639653-04:00
283248919088201728,367196473324208128,6.6,2023-06-14 13:53:20.884007-04:00
283248919088201728,604887159823925259,6.6,2023-06-14 13:53:20.889059-04:00
341997113393283093,522654151012909059,66.0,2023-06-14 15:40:10.406588-04:00
341997113393283093,537297943422828561,66.0,2023-06-14 15:40:10.413862-04:00
868241768787869726,507680914504024065,112.5,2023-06-14 16:30:53.299812-04:00
868241768787869726,341997113393283093,72.6,2023-06-15 16:17:46.170721-04:00
